Minutes,Seconds,rcvTime,pos_x,pos_y,spd_x,spd_y,acl_y,hed_x,hed_y,sendTime,sender_id,senderPseudo,messageID,acl_x,receiver_id,sendTime.1,receiverPseudo,nttack,node_attack
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,-0.332762476,4.487685794,0.064173034,28860.01629,11289,10112892,59600604,-0.997938787,10893,28860.01629,530108932,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,-0.332762476,4.487685794,0.064173034,28860.01629,11289,10112892,59600604,-0.997938787,10899,28860.01629,10108992,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,-0.332762476,4.487685794,0.064173034,28860.01629,11289,10112892,59600604,-0.997938787,10971,28860.01629,250109712,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,-0.332762476,4.487685794,0.064173034,28860.01629,11289,10112892,59600604,-0.997938787,11079,28860.01629,10110792,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,4.487685794,0.064173034,-0.997938787,28860.01629,11289,10112892,59600604,-0.332762476,11157,28860.01629,10111572,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,4.487685794,0.064173034,-0.997938787,28860.01629,11289,10112892,59600604,-0.332762476,11175,28860.01629,920111752,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,4.487685794,0.064173034,-0.997938787,28860.01629,11289,10112892,59600604,-0.332762476,11187,28860.01629,10111872,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,4.487685794,0.064173034,-0.997938787,28860.01629,11289,10112892,59600604,-0.332762476,11229,28860.01629,10112292,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,4.487685794,0.064173034,-0.997938787,28860.01629,11289,10112892,59600604,-0.332762476,11283,28860.01629,10112832,0,0
1,28860,28860.01629,152.8598371,909.8725147,0.685997723,-9.250725392,4.487685794,0.064173034,-0.997938787,28860.01629,11289,10112892,59600604,-0.332762476,11313,28860.01629,100113132,0,0
1,28860,28860.04083,385.5577967,929.1052165,36.88691722,33.70249353,1.049984431,0.805055426,-0.854816638,28860.04083,11115,90111152,59600737,0.982639821,10953,28860.04083,250109532,0,0
