Minutes,Seconds,rcvTime,pos_x,pos_y,spd_x,acl_x,acl_y,hed_x,hed_y,sender_id,senderPseudo,messageID,spd_y,sendTime,receiver_id,receiverPseudo,nttack,node_attack
1,28860,28860.01629,152.8498248,909.9075184,0.685998133,-0.332762106,4.487686164,0.036584838,-0.999330551,11289,10112892,59600204,-9.250724983,28860.01629,11157,10111572,0,0
1,28860,28860.01629,152.8498248,909.9075184,0.685998133,-0.332762106,4.487686164,0.036584838,-0.999330551,11289,10112892,59600204,-9.250724983,28860.01629,11175,890111752,0,0
1,28860,28860.01629,152.8498248,909.9075184,0.685998133,-0.332762106,4.487686164,0.036584838,-0.999330551,11289,10112892,59600204,-9.250724983,28860.01629,11187,10111872,0,0
1,28860,28860.01629,152.8498248,909.9075184,0.685998133,-0.332762106,4.487686164,0.036584838,-0.999330551,11289,10112892,59600204,-9.250724983,28860.01629,11229,10112292,0,0
1,28860,28860.01629,152.8498248,909.9075184,0.685998133,-0.332762106,4.487686164,0.036584838,-0.999330551,11289,10112892,59600204,-9.250724983,28860.01629,11283,10112832,0,0
1,28860,28860.01629,152.8498248,909.9075184,0.685998133,-0.332762106,4.487686164,0.036584838,-0.999330551,11289,10112892,59600204,-9.250724983,28860.01629,11313,80113132,0,0
1,28860,28860.07295,369.7085202,251.8252651,-11.2959966,-0.308465256,-0.106354691,-0.963697552,-0.266996307,10923,10109232,59600986,-3.900068429,28860.07295,11109,10111092,0,0
1,28860,28860.07295,369.7085202,251.8252651,-11.2959966,-0.308465256,-0.106354691,-0.963697552,-0.266996307,10923,10109232,59600986,-3.900068429,28860.07295,11295,330112952,0,0
1,28860,28860.07295,369.7085202,251.8252651,-11.2959966,-0.308465256,-0.106354691,-0.963697552,-0.266996307,10923,10109232,59600986,-3.900068429,28860.07295,11199,10111992,0,0
1,28860,28860.07295,369.7085202,251.8252651,-11.2959966,-0.308465256,-0.106354691,-0.963697552,-0.266996307,10923,10109232,59600986,-3.900068429,28860.07295,11223,10112232,0,0
1,28860,28860.07295,369.7085202,251.8252651,-11.2959966,-0.308465256,-0.106354691,-0.963697552,-0.266996307,10923,10109232,59600986,-3.900068429,28860.07295,11265,10112652,0,0
1,28860,28860.07295,369.7085202,251.8252651,-11.2959966,-0.308465256,-0.106354691,-0.963697552,-0.266996307,10923,10109232,59600986,-3.900068429,28860.07295,11277,10112772,0,0
1,28860,28860.07295,369.7085202,251.8252651,-11.2959966,-0.308465256,-0.106354691,-0.963697552,-0.266996307,10923,10109232,59600986,-3.900068429,28860.07295,11301,10113012,0,0
1,28860,28860.0821,232.6887268,219.6079784,0.000473171,0.000315335,0.000315335,0.999656486,-0.026208984,11199,10111992,59602539,0.000473171,28860.0821,11097,10110972,0,0
1,28860,28860.0821,232.6887268,219.6079784,0.000473171,0.000315335,0.000315335,0.999656486,-0.026208984,11199,10111992,59602539,0.000473171,28860.0821,11109,10111092,0,0
1,28860,28860.0821,232.6887268,219.6079784,0.000473171,0.000315335,0.000315335,0.999656486,-0.026208984,11199,10111992,59602539,0.000473171,28860.0821,11193,740111932,0,0
